# Generated by Tools/threads/flagoff-ledger.py (--base origin/main). One row per pre-existing function that has code the branch added
# outside every flag-on gate. Columns verdict, reason, reviewer are maintained by hand and survive regeneration.
# verdict: shape | restored | deliberate | data | fail-stop | lock | atomic | upstream-fix | flag-on-arm (see docs/threads/FLAG-OFF-LANDING.md L3).
file	function	ungated_lines	auto	verdict	reason	reviewer	note
Source/JavaScriptCore/API/JSContextRef.cpp	JSStringRef JSContextCreateBacktrace(JSContextRef ctx, unsigned maxStackSize)	1	other				
Source/JavaScriptCore/assembler/AbstractMacroAssembler.h	private: static uint32_t nextRandomSeed()	8	locked-rmw,relaxed-atomic				
Source/JavaScriptCore/assembler/AbstractMacroAssembler.h	protected: uint32_t random()	1	other				
Source/JavaScriptCore/assembler/LinkBuffer.cpp	void LinkBuffer::clearProfileStatistics()	2	relaxed-atomic				
Source/JavaScriptCore/assembler/LinkBuffer.cpp	void LinkBuffer::dumpProfileStatistics(std::optional<PrintStream*> outStream)	3	relaxed-atomic				
Source/JavaScriptCore/assembler/LinkBuffer.cpp	void LinkBuffer::performFinalization()	6	relaxed-atomic				
Source/JavaScriptCore/assembler/PerfLog.cpp	PerfLog::PerfLog()	1	other				
Source/JavaScriptCore/builtins/BuiltinExecutables.cpp	UnlinkedFunctionExecutable* BuiltinExecutables::createExecutable(VM& vm, const SourceCode& source, const BuiltinSourceMetadata& scanned, const Identifier& name,	1	lock,gate-test				
Source/JavaScriptCore/bytecode/AdaptiveInferredPropertyValueWatchpointBase.cpp	bool AdaptiveInferredPropertyValueWatchpointBase::install(VM& vm)	9	debug-assert,lock,main-form-helper,gate-test				
Source/JavaScriptCore/bytecode/AdaptiveInferredPropertyValueWatchpointBase.cpp	void AdaptiveInferredPropertyValueWatchpointBase::fire(VM& vm, const FireDetail& detail)	4	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/bytecode/ArithProfile.h	(no enclosing function found)	9	relaxed-atomic,main-form-helper				
Source/JavaScriptCore/bytecode/ArrayAllocationProfile.cpp	void ArrayAllocationProfile::updateProfile()	7	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
